sample;VCFname;co;Taxa;ID;group;era;Q;origin;meta
2FACC_chilling;2FACC;chilling;2FACC;2FACC;SS;II;SS;US;SS_II_US
78004_chilling;DK78004;chilling;78004;DK78004;SS;NA;SS;US;SS_NA_US
78551S_cold;78551S;cold;78551S;78551S;NSS;II;NSS;US;NSS_II_US
A239_cold;A239;cold;A239;A239;Broad origin-public;I;NSS;US;NSS_I_US
A632_cold;A632;cold;A632;A632;SS;I;SS;US;SS_I_US
A634_cold;A634;cold;A634;A634;SS;I;SS;US;SS_I_US
A635_chilling;A635;chilling;A635;A635;SS;I;SS;US;SS_I_US
A641_cold;A641;cold;A641;A641;SS;NA;SS;US;SS_NA_US
A659_chilling;A659;chilling;A659;A659;Broad origin-public;I;NSS;US;NSS_I_US
A661_chilling;A661;chilling;A661;A661;Broad origin-public;I;mix;NA;mix_I_NA
A679_chilling;A679;chilling;A679;A679;SS;I;SS;US;SS_I_US
A680_chilling;A680;chilling;A680;A680;SS;I;SS;US;SS_I_US
B103_cold;B103;cold;B103;B103;NSS;NA;Iodent;US;Iodent_NA_US
B104_chilling;B104;chilling;B104;B104;SS;I;SS;US;SS_I_US
B105_chilling;B105;chilling;B105;B105;SS;I;mix;NA;mix_I_NA
B109_chilling;B109;chilling;B109;B109;SS;I;SS;US;SS_I_US
B10_chilling;B10;chilling;B10;B10;SS;I;SS;US;SS_I_US
B14A_chilling;B14A;chilling;B14A;B14A;SS;I;SS;US;SS_I_US
B37_chilling;B37;chilling;B37;B37;SS;I;SS;US;SS_I_US
B46_chilling;B46;chilling;B46;B46;SS;I;NSS;US;NSS_I_US
B57_chilling;B57;chilling;B57;B57;Broad origin-public;I;NSS;US;NSS_I_US
B64_chilling;B64;chilling;B64;B64;SS;I;SS;US;SS_I_US
B68_chilling;B68;chilling;B68;B68;SS;I;SS;US;SS_I_US
B73_chilling;B73;chilling;B73;B73;SS;I;SS;US;SS_I_US
B75_chilling;B75;chilling;B75;B75;Mixed;I;NSS;US;NSS_I_US
B79_chilling;B79;chilling;B79;B79;Mixed;I;NSS;US;NSS_I_US
B84_cold;B84;cold;B84;B84;SS;I;SS;US;SS_I_US
B95_chilling;B95;chilling;B95;B95;Huangzaosi;NA;NSS;US;NSS_NA_US
B97_cold;B97;cold;B97;B97;NSS;I;NSS;US;NSS_I_US
CH701_30_chilling;CH701-30;chilling;CH701_30;CH70130;Broad origin-public;I;NSS;US;NSS_I_US
CM105_chilling;CM105;chilling;CM105;CM105;SS;I;SS;US;SS_I_US
CM7_chilling;CM7;chilling;CM7;CM7;SS;I;NSS;US;NSS_I_US
CML108_chilling;CML_108;chilling;CML108;CML108;Tropical;I;Tropical;Mexico;Tropical
CML10_chilling;CML10;chilling;CML10;CML10;Tropical;NA;Tropical;Mexico;Tropical
CML11_chilling;CML11;chilling;CML11;CML11;Tropical;NA;Tropical;Mexico;Tropical
CML14_chilling;CML14;chilling;CML14;CML14;Tropical;NA;Tropical;Mexico;Tropical
CML157Q_chilling;CML157Q;chilling;CML157Q;CML157Q;Tropical;NA;Tropical;Mexico;Tropical
CML158Q_chilling;CML158Q;chilling;CML158Q;CML158Q;Tropical;NA;Tropical;Mexico;Tropical
CML220_chilling;CML_220;chilling;CML220;CML220;Tropical;I;Tropical;Mexico;Tropical
CML228_chilling;CML_228;chilling;CML228;CML228;Tropical;I;Tropical;Mexico;Tropical
CML238_chilling;CML238;chilling;CML238;CML238;Tropical;NA;Tropical;Mexico;Tropical
CML247_chilling;CML_247;chilling;CML247;CML247;Tropical;NA;Tropical;Mexico;Tropical
CML254_chilling;CML_254;chilling;CML254;CML254;Tropical;NA;Tropical;Mexico;Tropical
CML261_chilling;CML261;chilling;CML261;CML261;Tropical;NA;Tropical;Mexico;Tropical
CML264_chilling;CML_264;chilling;CML264;CML264;Tropical;NA;Tropical;Mexico;Tropical
CML277_chilling;CML_277;chilling;CML277;CML277;Tropical;NA;Tropical;Mexico;Tropical
CML281_chilling;CML281;chilling;CML281;CML281;Tropical;NA;Tropical;Mexico;Tropical
CML287_chilling;CML_287;chilling;CML287;CML287;Tropical;NA;Tropical;Mexico;Tropical
CML311_chilling;CML311;chilling;CML311;CML311;Tropical;NA;Tropical;Mexico;Tropical
CML314_chilling;CML314;chilling;CML314;CML314;Tropical;NA;Tropical;Mexico;Tropical
CML321_chilling;CML321;chilling;CML321;CML321;Tropical;NA;Tropical;Mexico;Tropical
CML322_chilling;CML_322;chilling;CML322;CML322;Tropical;I;Tropical;Mexico;Tropical
CML328_chilling;CML328;chilling;CML328;CML328;Mixed;NA;Tropical;Mexico;Tropical
CML331_chilling;CML331;chilling;CML331;CML331;Tropical;NA;Tropical;Mexico;Tropical
CML332_chilling;CML332;chilling;CML332;CML332;Tropical;NA;Tropical;Mexico;Tropical
CML333_cold;CML333;cold;CML333;CML333;Tropical;NA;Tropical;Mexico;Tropical
CML38_cold;CML38;cold;CML38;CML38;Tropical;NA;Tropical;Mexico;Tropical
CML45_cold;CML45;cold;CML45;CML45;Tropical;NA;Tropical;Mexico;Tropical
CML52_chilling;CML_52;chilling;CML52;CML52;Tropical;NA;Tropical;Mexico;Tropical
CML69_chilling;CML69;chilling;CML69;CML69;Tropical;NA;Tropical;Mexico;Tropical
CML91_cold;CML_91;cold;CML91;CML91;Tropical;I;Tropical;Mexico;Tropical
CML92_chilling;CML92;chilling;CML92;CML92;Mixed;NA;Tropical;Mexico;Tropical
CMV3_chilling;CMV3;chilling;CMV3;CMV3;NSS;NA;NSS;US;NSS_NA_US
CO106_chilling;CO106;chilling;CO106;CO106;Broad origin-public;I;NSS;US;NSS_I_US
CR14_chilling;CR14;chilling;CR14;CR14;SS;II;SS;US;SS_II_US
DE811_chilling;DE811;chilling;DE811;DE811;SS;I;SS;US;SS_I_US
DJ7_chilling;DJ7;chilling;DJ7;DJ7;SS;II;SS;US;SS_II_US
E8501_cold;E8501;cold;E8501;E8501;NSS;II;NSS;US;NSS_II_US
EP1_chilling;EP1;chilling;EP1;EP1;Sweet corn;;mix;NA;mix__NA
F2834T_control;F2834T;control;F2834T;F2834T;Tropical;;Tropical;Mexico;Tropical
F2_chilling;F2;chilling;F2;F2;Sweet corn;NA;mix;NA;mix_NA_NA
F42_cold;F42;cold;F42;F42;SS;NA;SS;US;SS_NA_US
F7_chilling;F7;chilling;F7;F7;Sweet corn;;mix;NA;mix__NA
FS16094A_chilling;FS16094A;chilling;FS16094A;FS16094A;Polskie;II;NSS;Poland;NSS_II_Poland
GA209_chilling;GA209;chilling;GA209;GA209;NSS;NA;mix;NA;mix_NA_NA
GT112_chilling;GT112;chilling;GT112;GT112;NSS;NA;mix;NA;mix_NA_NA
H114_chilling;H114;chilling;H114;H114;SS;I;SS;US;SS_I_US
H49_chilling;H49;chilling;H49;H49;NSS;I;NSS;US;NSS_I_US
H84_chilling;H84;chilling;H84;H84;SS;I;SS;US;SS_I_US
H95_chilling;H95;chilling;H95;H95;NSS;I;NSS;US;NSS_I_US
HB8229_chilling;HB8229;chilling;HB8229;HB8229;SS;NA;SS;US;SS_NA_US
I29_chilling;I29;chilling;I29;I29;Popcorn;;mix;NA;mix__NA
IBB15_chilling;IBB15;chilling;IBB15;IBB15;IDT;II;Iodent;US;Iodent_II_US
K4_cold;K4;cold;K4;K4;Broad origin-public;I;NSS;US;NSS_I_US
Ki11_chilling;Ki11;chilling;Ki11;Ki11;Tropical;NA;Tropical;Mexico;Tropical
Ki14_cold;Ki14;cold;Ki14;Ki14;Tropical;NA;Tropical;Mexico;Tropical
Ki43_cold;Ki43;cold;Ki43;Ki43;Tropical;NA;Tropical;Mexico;Tropical
Ki44_chilling;Ki44;chilling;Ki44;Ki44;Tropical;NA;Tropical;Mexico;Tropical
Ky21_chilling;Ky21;chilling;Ky21;Ky21;NSS;I;mix;NA;mix_I_NA
