"ID","K1","K2","K3","K4","K5","Assigned_cluster","sample","condition","Taxa","ID.y","group","era","Q","origin","meta"
"78551S",0.027054,1e-05,0.887126,0.0858,1e-05,3,"78551S_cold","cold","78551S","78551S","NSS","II","NSS","US","NSS_II_US"
"A239",0.065139,0.110248,0.803205,1e-05,0.021399,3,"A239_cold","cold","A239","A239","Broad origin-public","I","NSS","US","NSS_I_US"
"A659",0.007347,0.095981,0.896652,1e-05,1e-05,3,"A659_chilling","chilling","A659","A659","Broad origin-public","I","NSS","US","NSS_I_US"
"A661",0.136831,0.205246,0.578414,0.047328,0.032181,3,"A661_chilling","chilling","A661","A661","Broad origin-public","I","Mix",NA,"Mix_I_NA"
"B105",0.088195,0.252769,0.629372,1e-05,0.029655,3,"B105_chilling","chilling","B105","B105","SS","I","Mix",NA,"Mix_I_NA"
"B37",0.127016,0.247927,0.625038,1e-05,1e-05,3,"B37_chilling","chilling","B37","B37","SS","I","SS","US","SS_I_US"
"B46",0.01577,0.239178,0.733766,1e-05,0.011275,3,"B46_chilling","chilling","B46","B46","SS","I","NSS","US","NSS_I_US"
"B57",0.016851,0.072857,0.827016,0.021856,0.06142,3,"B57_chilling","chilling","B57","B57","Broad origin-public","I","NSS","US","NSS_I_US"
"B75",0.052415,0.147091,0.77501,1e-05,0.025474,3,"B75_chilling","chilling","B75","B75","Mixed","I","NSS","US","NSS_I_US"
"B79",0.049832,0.1698,0.780348,1e-05,1e-05,3,"B79_chilling","chilling","B79","B79","Mixed","I","NSS","US","NSS_I_US"
"B95",1e-05,0.166752,0.616182,0.111134,0.105922,3,"B95_chilling","chilling","B95","B95","Huangzaosi",NA,"NSS","US","NSS_NA_US"
"B97",0.03605,0.124408,0.774011,0.012681,0.052849,3,"B97_cold","cold","B97","B97","NSS","I","NSS","US","NSS_I_US"
"CH701-30",0.012458,0.111649,0.781411,0.054444,0.040038,3,"CH701_30_chilling","chilling","CH701_30","CH70130","Broad origin-public","I","NSS","US","NSS_I_US"
"CM7",0.055414,0.089126,0.600533,0.153178,0.10175,3,"CM7_chilling","chilling","CM7","CM7","SS","I","NSS","US","NSS_I_US"
"CML_108",1e-05,0.066464,0.754273,0.035167,0.144086,3,"CML108_chilling","chilling","CML108","CML108","Tropical","I","Tropical","Mexico","Tropical"
"CML_220",1e-05,0.053058,0.796265,1e-05,0.150657,3,"CML220_chilling","chilling","CML220","CML220","Tropical","I","Tropical","Mexico","Tropical"
"CML_228",0.018368,0.019539,0.816105,1e-05,0.145978,3,"CML228_chilling","chilling","CML228","CML228","Tropical","I","Tropical","Mexico","Tropical"
"CML_247",1e-05,1e-05,0.851419,1e-05,0.148551,3,"CML247_chilling","chilling","CML247","CML247","Tropical",NA,"Tropical","Mexico","Tropical"
"CML_254",1e-05,0.024522,0.821646,1e-05,0.153812,3,"CML254_chilling","chilling","CML254","CML254","Tropical",NA,"Tropical","Mexico","Tropical"
"CML_264",1e-05,0.021841,0.811441,0.00203,0.164679,3,"CML264_chilling","chilling","CML264","CML264","Tropical",NA,"Tropical","Mexico","Tropical"
"CML_277",1e-05,0.023835,0.81442,0.004213,0.157523,3,"CML277_chilling","chilling","CML277","CML277","Tropical",NA,"Tropical","Mexico","Tropical"
"CML_287",1e-05,0.029333,0.816571,0.001742,0.152345,3,"CML287_chilling","chilling","CML287","CML287","Tropical",NA,"Tropical","Mexico","Tropical"
"CML_322",1e-05,0.105862,0.755577,0.001862,0.13669,3,"CML322_chilling","chilling","CML322","CML322","Tropical","I","Tropical","Mexico","Tropical"
"CML_52",1e-05,0.019945,0.776575,0.009636,0.193835,3,"CML52_chilling","chilling","CML52","CML52","Tropical",NA,"Tropical","Mexico","Tropical"
"CML_91",0.011907,0.045516,0.786383,0.024461,0.131733,3,"CML91_cold","cold","CML91","CML91","Tropical","I","Tropical","Mexico","Tropical"
"CML10",1e-05,0.03483,0.824702,1e-05,0.140448,3,"CML10_chilling","chilling","CML10","CML10","Tropical",NA,"Tropical","Mexico","Tropical"
"CML11",1e-05,0.043232,0.820757,1e-05,0.13599,3,"CML11_chilling","chilling","CML11","CML11","Tropical",NA,"Tropical","Mexico","Tropical"
"CML14",1e-05,1e-05,0.838181,1e-05,0.161789,3,"CML14_chilling","chilling","CML14","CML14","Tropical",NA,"Tropical","Mexico","Tropical"
"CML157Q",1e-05,0.031976,0.778699,0.015872,0.173443,3,"CML157Q_chilling","chilling","CML157Q","CML157Q","Tropical",NA,"Tropical","Mexico","Tropical"
"CML158Q",1e-05,1e-05,0.846152,1e-05,0.153818,3,"CML158Q_chilling","chilling","CML158Q","CML158Q","Tropical",NA,"Tropical","Mexico","Tropical"
"CML238",0.017132,0.060073,0.771131,0.015304,0.13636,3,"CML238_chilling","chilling","CML238","CML238","Tropical",NA,"Tropical","Mexico","Tropical"
"CML261",1e-05,0.127645,0.746797,1e-05,0.125538,3,"CML261_chilling","chilling","CML261","CML261","Tropical",NA,"Tropical","Mexico","Tropical"
"CML281",1e-05,1e-05,0.848819,1e-05,0.151151,3,"CML281_chilling","chilling","CML281","CML281","Tropical",NA,"Tropical","Mexico","Tropical"
"CML311",1e-05,1e-05,0.811534,0.014973,0.173473,3,"CML311_chilling","chilling","CML311","CML311","Tropical",NA,"Tropical","Mexico","Tropical"
"CML314",1e-05,1e-05,0.853349,0.001732,0.144899,3,"CML314_chilling","chilling","CML314","CML314","Tropical",NA,"Tropical","Mexico","Tropical"
"CML321",0.001316,0.073079,0.732566,0.022528,0.170511,3,"CML321_chilling","chilling","CML321","CML321","Tropical",NA,"Tropical","Mexico","Tropical"
"CML328",1e-05,0.040532,0.750304,0.027369,0.181786,3,"CML328_chilling","chilling","CML328","CML328","Mixed",NA,"Tropical","Mexico","Tropical"
"CML331",1e-05,1e-05,0.824784,1e-05,0.175186,3,"CML331_chilling","chilling","CML331","CML331","Tropical",NA,"Tropical","Mexico","Tropical"
"CML332",1e-05,0.085836,0.779565,1e-05,0.134579,3,"CML332_chilling","chilling","CML332","CML332","Tropical",NA,"Tropical","Mexico","Tropical"
"CML333",1e-05,0.102774,0.75254,1e-05,0.144666,3,"CML333_cold","cold","CML333","CML333","Tropical",NA,"Tropical","Mexico","Tropical"
"CML38",1e-05,0.025269,0.804531,1e-05,0.17018,3,"CML38_cold","cold","CML38","CML38","Tropical",NA,"Tropical","Mexico","Tropical"
"CML45",1e-05,0.016362,0.797504,0.008103,0.178021,3,"CML45_cold","cold","CML45","CML45","Tropical",NA,"Tropical","Mexico","Tropical"
"CML69",1e-05,0.03331,0.810587,1e-05,0.156084,3,"CML69_chilling","chilling","CML69","CML69","Tropical",NA,"Tropical","Mexico","Tropical"
"CML92",1e-05,0.165436,0.69424,0.008954,0.131359,3,"CML92_chilling","chilling","CML92","CML92","Mixed",NA,"Tropical","Mexico","Tropical"
"CMV3",0.063572,0.225302,0.608579,0.073575,0.028972,3,"CMV3_chilling","chilling","CMV3","CMV3","NSS",NA,"NSS","US","NSS_NA_US"
"CO106",0.134667,0.0985,0.629074,0.064692,0.073067,3,"CO106_chilling","chilling","CO106","CO106","Broad origin-public","I","NSS","US","NSS_I_US"
"E8501",1e-05,0.013843,0.871235,0.097657,0.017255,3,"E8501_cold","cold","E8501","E8501","NSS","II","NSS","US","NSS_II_US"
"F2834T",0.019265,0.038222,0.775155,0.000334,0.167024,3,"F2834T_control","control","F2834T","F2834T","Tropical","","Tropical","Mexico","Tropical"
"GA209",0.07499,0.129769,0.637908,0.066111,0.091221,3,"GA209_chilling","chilling","GA209","GA209","NSS",NA,"Mix",NA,"Mix_NA_NA"
"GT112",0.048888,0.127748,0.715122,0.060207,0.048035,3,"GT112_chilling","chilling","GT112","GT112","NSS",NA,"Mix",NA,"Mix_NA_NA"
"H114",0.075992,0.322212,0.601776,1e-05,1e-05,3,"H114_chilling","chilling","H114","H114","SS","I","SS","US","SS_I_US"
"H49",0.053765,0.182138,0.741658,0.022429,1e-05,3,"H49_chilling","chilling","H49","H49","NSS","I","NSS","US","NSS_I_US"
"H84",0.084493,0.202793,0.712694,1e-05,1e-05,3,"H84_chilling","chilling","H84","H84","SS","I","SS","US","SS_I_US"
"H95",1e-05,1e-05,0.99996,1e-05,1e-05,3,"H95_chilling","chilling","H95","H95","NSS","I","NSS","US","NSS_I_US"
"I29",0.00397,0.091672,0.491941,0.12882,0.283597,3,"I29_chilling","chilling","I29","I29","Popcorn","","Mix",NA,"Mix__NA"
"K4",0.066314,0.145559,0.705872,0.051076,0.031179,3,"K4_cold","cold","K4","K4","Broad origin-public","I","NSS","US","NSS_I_US"
"Ki11",1e-05,0.069625,0.779409,0.004292,0.146664,3,"Ki11_chilling","chilling","Ki11","Ki11","Tropical",NA,"Tropical","Mexico","Tropical"
"Ki14",0.020952,0.085099,0.742041,0.010865,0.141043,3,"Ki14_cold","cold","Ki14","Ki14","Tropical",NA,"Tropical","Mexico","Tropical"
"Ki43",1e-05,0.014661,0.809974,0.026358,0.148997,3,"Ki43_cold","cold","Ki43","Ki43","Tropical",NA,"Tropical","Mexico","Tropical"
"Ki44",1e-05,0.059692,0.772696,0.027755,0.139847,3,"Ki44_chilling","chilling","Ki44","Ki44","Tropical",NA,"Tropical","Mexico","Tropical"
"Ky21",0.082277,0.203574,0.592589,0.052521,0.06904,3,"Ky21_chilling","chilling","Ky21","Ky21","NSS","I","Mix",NA,"Mix_I_NA"
"Ky226",0.027532,0.230442,0.598948,0.057081,0.085998,3,"Ky226_cold","cold","Ky226","Ky226","Mixed","I","Mix",NA,"Mix_I_NA"
"LH1",0.233325,0.143867,0.622788,1e-05,1e-05,3,"LH1_chilling","chilling","LH1","LH1","SS","II","SS","US","SS_II_US"
"LH123HT",0.132741,0.063235,0.711869,0.092145,1e-05,3,"LH123HT_control","control","LH123HT","LH123HT","NSS","II","NSS","US","NSS_II_US"
"LH38",1.5e-05,1e-05,0.999955,1e-05,1e-05,3,"LH38_chilling","chilling","LH38","LH38","NSS","II","NSS","US","NSS_II_US"
"LH57",1e-05,1e-05,0.802956,0.197014,1e-05,3,"LH57_chilling","chilling","LH57","LH57","NSS","II","NSS","US","NSS_II_US"
