VCFname,group,era,Q,orygin,meta
2FACC,SS,II,SS,US,SS_II_US
2FACC,SS,II,SS,US,SS_II_US
2FACC,SS,II,SS,US,SS_II_US
DK78004,SS,NA,SS,US,SS_NA_US
DK78004,SS,NA,SS,US,SS_NA_US
DK78004,SS,NA,SS,US,SS_NA_US
78551S,NSS,II,NSS,US,NSS_II_US
78551S,NSS,II,NSS,US,NSS_II_US
A239,Broad origin-public,I,NSS,US,NSS_I_US
A239,Broad origin-public,I,NSS,US,NSS_I_US
A632,SS,I,SS,US,SS_I_US
A634,SS,I,SS,US,SS_I_US
A634,SS,I,SS,US,SS_I_US
A635,SS,I,SS,US,SS_I_US
A635,SS,I,SS,US,SS_I_US
A641,SS,NA,SS,US,SS_NA_US
A659,Broad origin-public,I,NSS,US,NSS_I_US
A659,Broad origin-public,I,NSS,US,NSS_I_US
A659,Broad origin-public,I,NSS,US,NSS_I_US
A661,Broad origin-public,I,mix,NA,mix_I_NA
A661,Broad origin-public,I,mix,NA,mix_I_NA
A661,Broad origin-public,I,mix,NA,mix_I_NA
A661,Broad origin-public,I,mix,NA,mix_I_NA
A661,Broad origin-public,I,mix,NA,mix_I_NA
A661,Broad origin-public,I,mix,NA,mix_I_NA
A679,SS,I,SS,US,SS_I_US
A679,SS,I,SS,US,SS_I_US
A679,SS,I,SS,US,SS_I_US
A680,SS,I,SS,US,SS_I_US
A680,SS,I,SS,US,SS_I_US
A680,SS,I,SS,US,SS_I_US
A680,SS,I,SS,US,SS_I_US
A680,SS,I,SS,US,SS_I_US
B103,NSS,NA,Iodent,US,Iodent_NA_US
B104,SS,I,SS,US,SS_I_US
B104,SS,I,SS,US,SS_I_US
B104,SS,I,SS,US,SS_I_US
B105,SS,I,mix,NA,mix_I_NA
B105,SS,I,mix,NA,mix_I_NA
B105,SS,I,mix,NA,mix_I_NA
B109,SS,I,SS,US,SS_I_US
B109,SS,I,SS,US,SS_I_US
B109,SS,I,SS,US,SS_I_US
B10,SS,I,SS,US,SS_I_US
B10,SS,I,SS,US,SS_I_US
B10,SS,I,SS,US,SS_I_US
B14A,SS,I,SS,US,SS_I_US
B14A,SS,I,SS,US,SS_I_US
B14A,SS,I,SS,US,SS_I_US
B37,SS,I,SS,US,SS_I_US
B37,SS,I,SS,US,SS_I_US
B46,SS,I,NSS,US,NSS_I_US
B46,SS,I,NSS,US,NSS_I_US
B46,SS,I,NSS,US,NSS_I_US
B57,Broad origin-public,I,NSS,US,NSS_I_US
B57,Broad origin-public,I,NSS,US,NSS_I_US
B57,Broad origin-public,I,NSS,US,NSS_I_US
B64,SS,I,SS,US,SS_I_US
B64,SS,I,SS,US,SS_I_US
B68,SS,I,SS,US,SS_I_US
B68,SS,I,SS,US,SS_I_US
B68,SS,I,SS,US,SS_I_US
B73,SS,I,SS,US,SS_I_US
B73,SS,I,SS,US,SS_I_US
B73,SS,I,SS,US,SS_I_US
B75,Mixed,I,NSS,US,NSS_I_US
B75,Mixed,I,NSS,US,NSS_I_US
B75,Mixed,I,NSS,US,NSS_I_US
B79,Mixed,I,NSS,US,NSS_I_US
B79,Mixed,I,NSS,US,NSS_I_US
B79,Mixed,I,NSS,US,NSS_I_US
B84,SS,I,SS,US,SS_I_US
B95,Huangzaosi,NA,NSS,US,NSS_NA_US
B95,Huangzaosi,NA,NSS,US,NSS_NA_US
B95,Huangzaosi,NA,NSS,US,NSS_NA_US
B97,NSS,I,NSS,US,NSS_I_US
B97,NSS,I,NSS,US,NSS_I_US
CH701-30,Broad origin-public,I,NSS,US,NSS_I_US
CH701-30,Broad origin-public,I,NSS,US,NSS_I_US
CH701-30,Broad origin-public,I,NSS,US,NSS_I_US
CM105,SS,I,SS,US,SS_I_US
CM105,SS,I,SS,US,SS_I_US
CM105,SS,I,SS,US,SS_I_US
CM7,SS,I,NSS,US,NSS_I_US
CM7,SS,I,NSS,US,NSS_I_US
CM7,SS,I,NSS,US,NSS_I_US
CML_108,Tropical,I,Tropical,Mexico,Tropical
CML_108,Tropical,I,Tropical,Mexico,Tropical
CML_108,Tropical,I,Tropical,Mexico,Tropical
CML_108,Tropical,I,Tropical,Mexico,Tropical
