"sample","VCFname","condition","Taxa","ID","group","era","Q","orygin","meta"
"2FACC_chilling","2FACC","chilling","2FACC","2FACC","SS","II","SS","US","SS_II_US"
"2FACC_cold","2FACC","cold","2FACC","2FACC","SS","II","SS","US","SS_II_US"
"2FACC_control","2FACC","control","2FACC","2FACC","SS","II","SS","US","SS_II_US"
"78004_chilling","DK78004","chilling","78004","DK78004","SS",NA,"SS","US","SS_NA_US"
"78004_cold","DK78004","cold","78004","DK78004","SS",NA,"SS","US","SS_NA_US"
"78004_control","DK78004","control","78004","DK78004","SS",NA,"SS","US","SS_NA_US"
"78551S_cold","78551S","cold","78551S","78551S","NSS","II","NSS","US","NSS_II_US"
"78551S_control","78551S","control","78551S","78551S","NSS","II","NSS","US","NSS_II_US"
"A239_cold","A239","cold","A239","A239","Broad origin-public","I","NSS","US","NSS_I_US"
"A239_control","A239","control","A239","A239","Broad origin-public","I","NSS","US","NSS_I_US"
"A632_cold","A632","cold","A632","A632","SS","I","SS","US","SS_I_US"
"A634_cold","A634","cold","A634","A634","SS","I","SS","US","SS_I_US"
"A634_control","A634","control","A634","A634","SS","I","SS","US","SS_I_US"
"A635_chilling","A635","chilling","A635","A635","SS","I","SS","US","SS_I_US"
"A635_control","A635","control","A635","A635","SS","I","SS","US","SS_I_US"
"A641_cold","A641","cold","A641","A641","SS",NA,"SS","US","SS_NA_US"
"A659_chilling","A659","chilling","A659","A659","Broad origin-public","I","NSS","US","NSS_I_US"
"A659_cold","A659","cold","A659","A659","Broad origin-public","I","NSS","US","NSS_I_US"
"A659_control","A659","control","A659","A659","Broad origin-public","I","NSS","US","NSS_I_US"
"A661_chilling","A661","chilling","A661","A661","Broad origin-public","I","mix",NA,"mix_I_NA"
"A661_chilling_2","A661","chilling","A661","A661","Broad origin-public","I","mix",NA,"mix_I_NA"
"A661_cold","A661","cold","A661","A661","Broad origin-public","I","mix",NA,"mix_I_NA"
"A661_cold_2","A661","cold","A661","A661","Broad origin-public","I","mix",NA,"mix_I_NA"
"A661_control","A661","control","A661","A661","Broad origin-public","I","mix",NA,"mix_I_NA"
"A661_control_2","A661","control","A661","A661","Broad origin-public","I","mix",NA,"mix_I_NA"
"A679_chilling","A679","chilling","A679","A679","SS","I","SS","US","SS_I_US"
"A679_cold","A679","cold","A679","A679","SS","I","SS","US","SS_I_US"
"A679_control","A679","control","A679","A679","SS","I","SS","US","SS_I_US"
"A680_chilling","A680","chilling","A680","A680","SS","I","SS","US","SS_I_US"
"A680_chilling_2","A680","chilling","A680","A680","SS","I","SS","US","SS_I_US"
"A680_cold","A680","cold","A680","A680","SS","I","SS","US","SS_I_US"
"A680_cold_2","A680","cold","A680","A680","SS","I","SS","US","SS_I_US"
"A680_control","A680","control","A680","A680","SS","I","SS","US","SS_I_US"
"B103_cold","B103","cold","B103","B103","NSS",NA,"Iodent","US","Iodent_NA_US"
"B104_chilling","B104","chilling","B104","B104","SS","I","SS","US","SS_I_US"
"B104_cold","B104","cold","B104","B104","SS","I","SS","US","SS_I_US"
"B104_control","B104","control","B104","B104","SS","I","SS","US","SS_I_US"
"B105_chilling","B105","chilling","B105","B105","SS","I","mix",NA,"mix_I_NA"
"B105_cold","B105","cold","B105","B105","SS","I","mix",NA,"mix_I_NA"
"B105_control","B105","control","B105","B105","SS","I","mix",NA,"mix_I_NA"
"B109_chilling","B109","chilling","B109","B109","SS","I","SS","US","SS_I_US"
"B109_cold","B109","cold","B109","B109","SS","I","SS","US","SS_I_US"
"B109_control","B109","control","B109","B109","SS","I","SS","US","SS_I_US"
"B10_chilling","B10","chilling","B10","B10","SS","I","SS","US","SS_I_US"
